;Classificação Vinicius;Classificação Higor;Comentario
;1;2;Esse tal de Molina é um fanfarrão, diz uma coisa na folha de São Paulo, e agora se contradiz todo, a troco de uma fortuna paga por Temer, cadê o nosso Judiciário, cadê o STF, estamos de olho, viu, viu, viu.
;1;2;Um fanfarrão, mas a globo n mostra o vídeo da palestra.
;2;2;roger galinha defendendo o vampiro... toma vergonha galinha...
;1;4;Existe o advogado do diabo e agora o perito do diabo
;1;5;Esse senhor não merece credibilidade . Saibam que foi demitido da UNICAMP por conduta .......
;2;5;Fiz uma perícia no visual do perito e cheguei a seguinte conclusão : Não da pra acreditar em alguém que usa suspensórios e cinto. 
;2;5;So faltou o charuto!!!! FORA EURICO!!!
;4;5;O SEGREDO  DA  FELICIDADE  E"  NAO  DISCUTIR  COM  IDIOTAS----Proverbio  chines
;3;5;Prepotente e nem tão competente esse perito, haja vista que em outras situações de análise  o mesmo busca para si os holofotes, acho que ele deveria ter estudado arte dramática.
;1;4;Porque o Temer não deu voz de prisão a Joesley Batista??? O cara confessou o que estava supostamente fazendo powww... Perdeu a chance de fazer a justiça...
;1;4;O Brasil têm apenas dois caminhos para escapar da atual crise: Intervenção militar ou monarquia parlamentarista.
;2;2;IMPRESTÁVEL é um pseudo perito comprado com dinheiro de propina!!!!
;2;4;Esse perito é cheio da conversa... fala muito e se acha o machão.
;1;4;O que mais me assusta é julgarem que a gravação ilegal é um crime maior que o conteúdo dela.  É brincar com a inteligencia das pessoas.  Eu mantenho minha teoria "Politico é igual a pedra, só faz peso na terra". Não servem para quase nada. Com absoluta certeza 30 ou 40 técnicos bem selecionados fariam o que todos os deputados e senadores fazem, com metade do esforço e com um custo muito inferior.
;1;2;Pericia comprada , para que ta feio Temer 
;4;5;Já viram algum ator, atriz contratado para fazer propaganda de um determinado comercial dizer que aquele produto não presta? ou que a comida ficou ruim? ou que o carro não é ecônomo?
;2;4;É claro que a gravação é imprestável, é do interesse dele que seja!
;1;4;Reforma politica já!!!
;4;4;-Extinção de partidos
;2;4;-Extinção de partidos-Candidatos somente aqueles sem nenhuma passagem pela polícia e sem processo na justiça-10 senadores - 2 por região geográfica
;2;4;Acrescente, nível superior e doutorado
;2;4;Acrescente a isso as explicações do ministro Henrique JBS Meirelles que a tudo assistiu, faturou horrores e foi figura das mais importantes  no faturamento dos bilhões da família Batista.
;3;4;Esse Molina não é aquele do episódio da bolinha de papel do José Serra do PSDB, que gracinha!
;2;5;Esse Molina é aquele do caso do P C Farias também, estão de  brincadeira!
;2;5;parece até programa de humor. você queria o que?
;2;5;o acusado contrata um especialista e vocês iam querer que ele validasse a prova?  estou rindo até o agora. kkkkk
;2;4;Vergonhoso.....não é atoa que o Molina foi demitido da Unicamp....Ele está querendo invalidar aquilo que o próprio presidente confirmou no pronunciamento que ele fez....Lamentável. O áudio está aí pra todo mundo escutar, e só o fato do presidente receber o Joesley e ter esse nível de conversa com ele já é o suficiente para provar que o presidente compartilhava do esquema.
;2;2;Exatamente. E ainda ouviu que o empresário tinha procurador outros servidores no bolso e nada fez. Não se pronunciou e não denunciou. Só isso já é incompatível com o decoro exigido para o cargo. Impeachment já.
;2;4;Tudo bem que o Ministério Público comete erros infantis, mas esse Ricardo Molina fala o que vc paga ele pra falar. É um palhaço.
;4;5;alguém já viu alguém pago dizer algo que contradiz seu patrão???? nunca...kkk
;2;2;Esse RICARDO MOLINA pertence a QUADRILHA do TEMER. O cara marca encontro com JOESLEY , as 11:00 horas da NOITE no PORÃO do JABURU e esse PERITO INCOMPETENTE comprado pelo TEMER vem dizer que o ÁUDIO está com problema? Me poupe MOLINA. Vá procurar outro trabalho. CADEIA para o TEMER.
;4;5;imprestável é esse Presidente e temos que aceitar, então pq não aceitar a gravação?
;2;5;Um perito de defesa diria ao contrário ?
;3;6;Tem que mandar punir esses gravadores, gravações, e instrumentos de provas. Eles são criminosos e causam danos aos corruptos e à corrupção no Brasil. A culpa é deles, não dos políticos, que são anjos, do mal.
;2;5;Boa, Manoel Miguel....rs rs rs
;3;2;Recebeu qto perito? Kkkkk.. Ate fecha o olho, em certas horas, pra afirmar as babaquices pra confundir a opinião pública..
;2;4;Sera que uma pessoa dessa deita a cabeça no travesseiro e dormi tranquilo...por estar defendendo uma pessoa q a maioria esta vendo o que ele praticou é erradissimo.
;1;5;Que Deus coloque a mão no coração desse homem...chamado Ricardo Molina.
;2;5;No mínimo um milhão é do BNDS mesmo ou seja nosso
;3;5;Que relevância tem o questionamento de uma pessoa que foi contratado pelos advogados do acusado... ele só ta defendendo o que pagaram ele pra fazer!!!!
;1;2;Na  minha  humilde  opinião , deveriam prender  esse  perito e  o Temer  na  mesma  cela .
;2;2;estão  chamando o povo de bobo  na  cara .
;2;5;mas isso deveria ser com advogados tbm, que defende e no fim perdem.
;1;1;Normal, se a defesa não tem provas da inocência do sujeito, vamos partir para desqualificar as provas da acusação. Apenas procedimento padrão.
;3;6;Entendi, acho que ele queria a gravação fosse feita em um estúdio, com microfones especiais e abafadores de ruídos.
;3;1;No que se refere à idoneidade do Temer, não se pode afirmar nada, todavia, a gravação é nitidamente falsa. Ela realmente foi editada, e digo mais, boa parte dela nem foi feita pelo tal aparelho. A análise de frequência aparelho versus gravação irá mostrar isso.
;3;5;iSOL, caso tenha problema de audição, estejas procurando tratamento e não tenhas condições de custear, evite se manifestar.
;4;4;Pra que perícia, se o próprio Temer, com suas declarações e entrevista concedida à Folha, confirmou o teor da conversa gravada, tentando apenas distorcer o real significado do dialogo travado com o empresário? 
;4;2;Concordo plenamente...já confessou
;4;4;Concordo! Ele  falou com o dono da jbs!   o que o temer vai dizer? Que a voz nao era a dele???
;2;2;Essa turma do Temer quanto mais fala mais se enrola...e mais nos enrola... XÔ MICHEL !!!
;3;2;Espere os próximos dias. a Justiça Americana existe e pune com muito rigor os crimes financeiros que motivaram os processos  abertos hoje..
;2;5;Ja tão atras do aécio pra engaiolar!!
;4;6;Jamais confie em um homem que usa suspensório e cinto ao mesmo tempo, afinal nem ele mesmo confia nas calças que veste.
;4;5;KKKKKKKKKKK!!!!!!!
;3;2;É sim, o certo são vocês roubando o pais e nós trabalhadores pagarmos seus luxos!
;6;6;Fiz uma perícia no visual do perito e cheguei a seguinte conclusão : Não da pra acreditar em alguém que usa suspensórios e cinto. 
;2;5;So faltou o charuto!!!! FORA EURICO!!!
;4;5;O SEGREDO  DA  FELICIDADE  E"  NAO  DISCUTIR  COM  IDIOTAS----Proverbio  chines
;4;5;Manda o Áudio original para o FBI Investigar, e saberemos a verdade!!! Ricarno Molina é quem?
;2;5;Ele é o melhor em defender quem tá contratando ele, isso sim né, heheh
;2;5;Gravação de confiança tem nome, FRIBOI.
;4;2;Molina mordeu uma propina gorda pra defender este canalha. Pode acreditar.
;1;2;Uma coisa que muito me intriga são as partes de ruídos, ainda que o Temer seja um dos maiores pilantras do país mas se analisarmos os áudios, são esquisitos e meio fora de contexto. 
;1;2;Sou da mesma opinião.
;5;4;Esse Ricardo Molina é um impostor !! Pagou ele libera o laudo !!
;1;4;Velhos, se o Molina é um impostor, imagina o que seria o Temer e a sua corja. 
;5;5;É o mesmo perito que disse que Serra levou uma bomba na cabeça no no episódio da bolinha de papel de 2010.
;1;5;Quanto esforco do molina pra desacreditar o MPF. 
;1;4;O MPF não tem nada a ver com essa gravação. 
;1;2;Friboi, Seara, Havaianas e Osklen pertecem ao grupo J&F, dono da JBS Boicote geral a todos os produtos dessa empresa de corruptos.
;6;4;O problemas é que os caras, fizeram uma amarração perfeita! O BNDES, tem algo em torno de 30 das ações dessa Empresa! E agora José?
;6;4;Então que o BNDES tome tudo deles. Na hora dos bancos tomarem dos pequenos investidores eles fazem 
;2;4;Eu não entendo o pq de ficar mostrando perícias  não oficial em jornais, espera a porcaria da perícia oficial ser concluida pra dps noticiar powwwww. O Brasil agradece.
;3;2; Fica ainda mais evidente que o Temer esta tentando descaracterizar o que ele sabe que é verdade. Há algum tempo atrás, mais ou menos nas datas que começaram a pagar pelo silêncio do Eduardo Cunha, este mesmo ameaçava abrir a boca e falar tudo o que sabia e envolveria O Temer e outras pessoas ligadas ao atual governo e, de uma hora para outra, o Cunha sumiu do noticiários. Meio estranho o Cunha ter se calado do nada que, inclusive, ameaçava o Temer e outros com a publicação de dois livros que seriam bombásticos. 
;1;4;O inquérito pra investigação já foi aberto Carlos, o que seria analisado na Quarta Feira seria o pedido da defesa de Temer pra suspender o inquérito já aberto.
;1;6;Meu perito diz que minha casa vale 50 milhões e o restante dos peritos diz que vale 50 mil eu acredito em quem ? eahuaehuaehuhaeu
;2;5;Vítor eu vou nos 50 milhões. Detesto gente humilde
;2;2;IMPRESTÁVEL É ESSE PERITO COMPRADO !!!!
;3;3;Não sou partidário de ninguém, e nem contra o progresso do País, apenas sou contra trocar uns bandidos, por outros...
;1;2;Vamo faze uma perícia pra ver quanto o propina, digo...... Molina ganhou pra dizer isso!!!!
;4;5;Seria estranho se o perito contratado pela defesa falasse que a gravação é autêntica e inquestionável, chega a ser patético.
;1;2;Porque a globo não publica nada quando é para falar mau dos dois irmãos bandidos?????????????
;1;4;não é so globo, as outras emissoras tambem, que recebem o nosso dinheiro, que os politicos roubaram,,,,,, 
;2;5;censuraram, o texto que eu escrevi, e é por isso que o povo está no engano ainda
;2;5;É isso ai Molina....TEM QUE MANTER ISSO!!!!
;6;5;Viu!
;6;6;Descoberto onde foi parar a mala. Com 500 mil digo qlq coisa. O cliente tem sempre razão.
;4;5;Desde quando o perito de um suspeito opina alguma coisa ?
;6;2;Paulo Gama, vc é gamado no Temer??? Leve-o para casa e cuide bem dele, pois o Brasil não precisa desse golpista!!!!!
;1;2;Esse Paulo Gama deve ser um vampiro também.....
;6;5;A culpa é da China fabricante do gravador.
;2;2;Os caras roubam bilhões, mas são tão mão de vaca - Friboi - que compram um gravador ndo Paraguai.
;4;5;foi a marisa
;4;4;O PERITO QUE DEFENDEU OS NARDONI FOI CHAMADO PARA DEFENDER O TEMER. NO FINAL A CULPA VAI CAIR NO SEGURANÇA QUE DEIXOU O CAIPIRA ENTRAR SEM PERMISSÃO NO JABURU DO VAMPIRO. 
;1;4;Ele disse na época que a versão da perícia da polícia era sem sentido. 
;1;6;Por 500 mil era Temer até morrer! kkkkkkkkkkkk
;1;2;Nem precisa de gravação. A simples recepção de um bandido às 23 horas é mais do que motivo para defenestrar esse Temer.
;3;5;isssooooo
;3;2;Recebeu na casa dele? Sustentada com os nossos impostos. Eita, quadrúpede....
;4;5;Esse foi o mesmo perito que disse que o PC Farias se matou
;4;5;O no,me do perito é Badan Palhares.
;2;2;acorda povo ,  sai da inercia  , vai pra rua ,quebra tudo sem esta de não estragar ! eles não se preocupam com o dinheiro roubado desde que o deles esteja  na mão
;2;4;Contratado pelo presidente kkkkk óbvio que esse perito vai dizer que o áudio é imprestável! 
;3;6;Amanhã o Molina vai conceder entrevista para provar que o dinheiro da mala era de "banco imobiliário".
;3;5;E era! KKK Essa foi boa!
;5;5;kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
;1;4;Esse perito não vai falar nada para incriminar o cliente dele, isso é óbvio, é claro, ele está sendo pago para provar que o Temer é inocente, distorcer os fatos falado por esse cara que se diz presidente do Brasil. ESPERAR O QUÊ DESSA PERICIA!
;2;2;PERITO CONTRATADO POR TEMER  Alguém consegue imaginar quanto esse picareta Ricardo Molina recebeu de propina para mentir e tumultuar os crimes do nefasto Temer....Todos pras ruas sem partidos e sem bandeiras, vamos exigir VERGONHA, JÁ QUE ELE NÃO SE TOCA !!!
;2;2;Velho PATIFE e sua corja de PSDBANDIDOS !!
;1;4;Tem alguns comentários que da a entender que não caiu a ficha de muita  gente porque Temer e seus comparsas deram o golpe. Ele mesmo disse ao Joesley que no final de 2018 já estaria livre da Lava Jato. Por isso ele precisa ficar no poder ate la. No final de 2018 a sua casa estará em ordem. Ja a casa  do povo coitado.....só Deus sabe.
;1;3;Só para quem entende de política, Temer ruim com ele, pior sem ele.
;2;2;Ruim com ele e pior ainda se continuar com ele.
;1;2;Chegaremos ao final de 2018 com o povo transformado num proletariado miserável, sub empregos, carestia, atraso, impunidade, corrupção, ou seja, a coisa só vai piorar e vai piorar muito.
;2;5;É isso ai presidento, ELEITO PELOS ESQUERDOSOS, 2018 é B0LS0NAR0!
;2;2;Da forma que vai a casa vai ser desordem. Bandidos, corruptos, salafrários, enfim essa é a nossa política.
;2;4;SE ALGUEM AI QUIZER E' SO PEGAR UMA BAZUCA E EXPLODIR O PALACIO DO PLANALTO
;3;2;ESPERO QUE A PF SAIA COM O TEMER DO PALÁCIO DO PLANALTO ALGEMADO,E DESCENDO A RAMPA,PARA O POVO VER QUE TEMOS JUSTIÇA.  
;4;5;Seria lindo demais !!!
;3;4;O Sr. Temer tá muito confiante que seu governo concluirá até 2018!?  Quem dera,  acredito que não chega nem no fim de 2017.
;1;4;Eu nao queria que chegasse nem ate o fim de junho..
;4;4;Acho que ele já  morreu, o enterro é que está  meio demorado.
;1;1;Eu acredito no Temer, eu acredito nas reformas, vou torcer para que ele continue Governado até o fim do seu mandato. Depois, bom depois ai vamos deixar o pessoal inteligente escolher outro Governante.
;2;2;Depois desse comentario, percebe-se que deixar vc inteligente e impossivel. Caso perdido.
;2;2;bom dia a todos país de otarios... o kra me coloca seu proprio advogado no comando do ministerio da justiça tetando se defender do bombardeio que esta por vir, e o povo ahhh o povo que se fo...
;1;2;amigo, Temer veio do mesmo pote q sua antecessora, mas nao é diferente, ele é tao igual, pelo menos este senhor tentou ajudar a economia, mas tenta desesperadamente "reformar" algo com um congresso sujo ate a alma.
;2;2;Realmente.. Temer eh limpo que nem a tua traseira
;2;2;cadeia nele
;4;5;Urgente !!!
;1;1;Força presidente !!!
;2;2;Força a cadeia te espera
;4;2;Mais um sadomasoquista, aff!
;2;2;Canalha a cadeia é pouco pra vc presidente de bosta .
;4;5;Pouquíssimo , José.
;2;2;se continuar com essa impunidade, chegaremos sim no final, digo no fundo do poço em 2018, somos frouxos, medrosos, covardes, estamos assistindo os bandidos zombarem de uma nação inteira e não tomamos atitudes! até o exército está calado! até quando!
