1;2;3;Vejam bem, maioria dos homens apoiam. maioria de mulheres não. Homens tendem a serem lógicos, mulheres emotivas. Sera que mulheres acham que rodeios é judiação de animais? O que é claramente equivocado da parte delas. Como também isso se repete na PL3722, homens pensam logicamente, e são mais favorável ao cidadão ter menos restrições a armas de fogo para proteger seu patrimônio e sua família. Ja as mães, familiares, namoradas(os), principalmente de bandidos, acham isso um terror, por que qual mãe quer ver o filho bandido morto praticando um assalto? Logo são contra o direito das vitimas de si proteger do seu filho bandido. Vote consciente, vote com razão e não emoção! Brasil melhora rapidinho. 
2;2;2;Observando daquí, a debandada dos derrotados. Cadê o Sacoman Keffeyo, a Ana Animais e, o pilantra do Haroldo Girafales? Perderam a coragem de virem aquí na enquete, questionar a sanção do PL?  Corvardões perdedores: vão chorar no colinho da Luisa Mell.  
3;1;1;Dezenas de debates e ficou mais que provado que animais atletas nao sao animais maus tratados,parabens capitao augusto. 
4;1;1;PARABÉNS CAPITÃO AUGUSTO ISSO PROVA QUE QUEM AMA CUIDA,ANIMAIS TRATADOS COM MUITO CARINHO 
5;3;1;VITÓRIA!!!! Projeto sancionado pelo presidente da República. Dedicado aos 31.259 derrotados,  contrários, em especial à Luiz Paulo Sacoman Almeida, Ana Animais e, ao canalha do Aroldo Girafales que tanto nos difamaram.  
6;3;3;Parabéns ao presidente Michel Temer que sancionou a lei que, eleva o rodeio à condição de patrimônio cultural imaterial do Brasil infelizmente a vaquejada passou junto. Parabéns Capitão Augusto.  
7;1;1;Parabéns Capitão Augusto,agora é lei. 
8;1;1;PARABÉNS CAPITÃO AUGUSTO A NAÇÃO SERTANEJA ESTÁ COM VOCÊ. 
9;2;1;Sem noção é essas pessoas que nunca viram um animal de perto vir aqui falar tanta besteiras,,que animais tem seus testículos apertados,,que sofrem muito e trabalham até morrerem de cansaço,,vamos conhecer de perto como vivem e para onde iriam esses animas se não fossem usados no esporte. 
10;2;2;Ridiculo !!!!!! 
11;4;4;vc sabe pra onde vão os animais que não vão para o esporte?? 
12;2;2;quem não  tem senso de prioridade é vc seu besta,,atores da globo falando que entre um polícial  e um traficante escolheriam salvar o traficante primeiro,,bandidos derrubando helicoptero da policia,,outros espulsando policiais maus armadas das cidades pra assaltarem banco,,vem vc aqui em falar em acabar com um esporte  ,vai te catar 
13;4;4;muitos acham ruim vc interagir com um animal,mas usam uma raquete de tenis feita através da tripa de um boi,comem gelatina,feita através de um derivado de algum boi ,ja tomaram alguma vacina que foi feita através do soro do sangue de algum boi.e muitos tratam de seu cachorro com uma ração que tambem foi feita com sangue e ossos de boi. 
14;4;4;cada um ve o que é tortura de forma diferente,,para muitos tortura é vc deixar um cachorro cheio de energia fechado em um apartamento  e sendo tratado como um humano ou condenados a prisão perpétua amontoados em lugares que algumas ongs chamam de abrigo,outros sendo cadastrados em nome dos que sugerem de bons tratos. 
15;1;1;Capitão augusto sendo homenageado em Cravinhos,,pareabéns capitão augusto. 
16;1;1;Capitão augusto,,pode contar com o voto do povo sertanejo nas proximas eleiçoes,,muito obrigado ! 
17;1;1;valeu capitão augusto te esperamos na proxima temporada,, seja muito bem vindo aos rodeios. 
18;1;1;PARABÉNS CAPITÃO AUGUSTO,MARAVILHOSA VITÓRIA. 
