Opinião; mensagem
2;quantas besteiras,,vamos conhecer antes de criticar.
1;parabéns Capitão,, moro em amparo e meus animis estão disposição de quem quiser conhecer,, e gostaria muito também de conhecer os animais da senhora Ana dos Animais
4;Conheçam antes de criticar
2;Quanto mais tem esses comentarios absurdos sobre o rodeio,mais facil fica de aprovar a o projeto,como ja foi aprovado.. Pessoas por aqui não tem noção do que falam,porque nunca viram de perto
4;Absurdo é pessoas falarem coisas sem sabe,onde vc viu um animal de rodeio de perto e por acaso sabe pra onde vão os que não são de rodeio ?
4;Assassinato é o frigorifico e é para lá que vão os que não vão para o rodeio,
2;assasinato é manda-los para o frigorifico
4;Vida a longa ao rodeio e as provas dos 3 tambores
2;tambem não gostamos de tanta coisa nesse pais e somos obrigados a aceitar, quem nao gosta deveria ao menos respeitar.
1;Viva a cultura caipira.
1;Se o projeto passou pela camara,é porque os argumentos dos defensores foram bem melhores do que os dos ativistas..conheçam antes de criticar.
2;Ninguem é obrigado a ir nas festas do peão,se não gosta,nao vá,,nao vamos na casa de ninguem falar o que voces devem fazer ou não.. cada um tem a cultura que quer
2;em uma pais que estao querendo liberar até as drogas voces vem querer a gente de montar em touros,,vão se catar conheçam antes de criticar,,comemos e interagimos com animais a seculos e nao vai ser agora que vamos parar,,interagir com animais ,não é maltratar animais..
3;Graçad as esses tipos de depoimentos,o projeto passou facil na camara dos deputados,, esses depoimentos do não ,são com certeza depoimentos de quem nunca viu de perto..Viva o rodeio
4;rodeio deve ser patrimonio do brasil
2;massacre é se eles não fossem para o rodeio e sim para o frigorifico,,ou vc acha que se não fossem para o rodeio iriam para o quintal da sua casa.
3;mas não foi proibido e sim libarado,então respeite quem gosta.
1;E hipismo é correto?? Sou a favor de fiscalização pra ter certeza que os animais estão sendo bem tratados,isso sim! E é tradição tanto no Sul do país quanto estados do centro-oeste.
1;E hipismo é correto?? Sou a favor de fiscalização pra ter certeza que os animais estão sendo bem tratados,isso sim!
3;Ah 60 anos atraz ,,na festa do peão de barretos foi inventado o rodeio de cutiano modalidade 100% nacional, e tambem não é da sua conta nao montamos e nem comemos com seu dinheiro,,montamos e comemos aniamais isso também nao é da sua conta ,não usamos seu dinheiro e nem vamos na sua casa de falar do que voce tem que gostar,cada um vive como quer.. se não gosta,não vá sua jacu !!!
4;Em um congresso mundial realizado na cidade de barretos,foi descoberto que entre todas as atividades que envolvem animais.o rodeio é o que tem menor numero de incidentes com os animais,,isso foi debatido na camara dos deputados..
3;Por conta de depoimento de pessoas leigas como a senhora sonia que o projeto foi aprovado com a maioria dos votos,conheçam antes de criticar..
