cla 3	 mensagem
2	filha da p.. deve ser que te pos no mundo seu babaca..vá conhecer como vivem e co o sã tratados ani ais de rodeio..ninguem aqui como seu dinheiro seu babaca
2	vai procurar sua turma seu idiota..não pedimos e nem vivemos com seu dinheiro.
2	ESSES ATIVISTAS SÃO TUDO VAGUBUNDOS QUE NÃO QUEREM TRABALHAR E TEM INVEJA DOS BEM SUCEDIDOS, AFINAL QUEM BOIADAS TEM GRANA, SÓ DIGO UMA COISA, SOU À FAVOR DO REGIME MILITAR NO BRASIL NOVAMEMTE, PORQUE NO REGIME MILITAR VAGABUNDOS COMO VOCÊS ENTRA NO CACETE POR FICAR INVEJANDO O SUCESSO DAS PESSOAS!  QUERO VER A CARA DE VOCÊS DENTRO DE UM CAMBURÃO, POR FICAR DE VAGABUNDAGEM NA RUA, AO INVÉS DE PROCURAR SERVIÇO, PORQUE QUEM TRABALHA NÃO TEM TEMPO PARA VIGIAR A VIDA DOS BENS SUCEDIDOS.... VOLTAAAAAA REGIME MILITAR!!!
2	O retardada como eu já disse anteriormente, isso não é argumento, vocês não deve ter nem a quarta série né!? Porque não sabem nem interpretar, isso é minha opinião, o que eu quero que aconteça, isso não são argumentos seus analfabetos!!
1	Porque ele cria o que ele quer!!! Porque ele tem o poder de criar o que quer!! Ao contrário de você que não tem poder de nada!
2	Vai procurar um asilo para você passar o resto da sua vida, Porque tenho certeza que deve ser uma velha solitária!!!
2	seu cabeça atrofiada, tem q ter evolução contra a exploração de animais, pra lucros $$$$ de sdesumanos, desalmados, bota teus filhos la, q aí eu vou assistir eles servindo de palhaços.
2	Quem é fak seu bosta,,mora em jacutinga minas gerais se quiser me conhecer ao vivo te passo meu endereço meu telefone e te ensino a ser homem,,sua frutinha
2	seu bosta tenho nome e endereço posso falar com vc ao vivo quando e onde voce quiser,,vira homem babaca,, conheça antes de criticar,,se voce não gosta aprenda a respeitar quem gosta,,conheço animais de rodeio e tambem conheço como são tratados,,se quiser posso te mostrar quando e ahora que voce quiser,me passa como possso te encontrar e conversaremos ao viov por outras redes..o unico fake que deve ter aqui é voce seu idiota.
2	e onde vc algum animal ser torturado sua babaca
2	Esses trouxas do não, vota sem noção, mau sabe eles o que irá acontecer com os touros, acho que pra eles a morte dos touros de rodeio em massa, sera uma vitória. Votamos sim pelo rodeio porque amamos esses animais, já quem vota não, eu tenho certeza que nenhum tem experiência com animais de grande porte vê os bicho só imagem em tv,net e revista! Sim é para garantir a vida desses touros, já que sem rodeio os touros será bife pra todos, mais é isso que vcs querem, e não vem tentar argumentar alguma coisa que eu disse, porque essa é a realidade, SIM preserva o touro vivo, NÃO será matado para nosso alimento, triste não!
2	"Tem que rir desses otarios do ""NÃO "" eles fica denunciando todos os comentários do sim, será que eles acha que isso vai mudar alguma coisa!!??? Ou é porque vocês não tem argumentos??? Tem é que dar muitas risadas!! Kkkkkkkkkkkkkkkkkkkkkkkkkklkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk"
