classe; mensagem 
3;quem vive de rodeio não tem apenas um, tem vários!! 
2;filha da p.. deve ser que te pos no mundo seu babaca..vá conhecer como vivem e co o sã tratados ani ais de rodeio..ninguem aqui como seu dinheiro seu babaca 
2;vai solta na floresta ou matar, kkkkk. 
3;perdemos não, essa votação não tem valor algum, qualquer rodeio hoje a média de público é de 20 mil pessoas por dia, si fosse uma votação na qual tivesse algum valor já teria milhões de votos à favor do sim! 
2;vai procurar sua turma seu idiota..não pedimos e nem vivemos com seu dinheiro. 
1;pode responder algum de vcs também, aline, graça, lê, marisa, ivone, mirian, reponde aí também que será fito com os touros de rodeio? 
3;e aí aninha, diz o que será feito com os touros de rodeio, já que estamos perdendo, kkkkk? 
2;assisti lá, canal só para rodeios, www brasilruraltv.com, aí, lá boi de rodeio não vai morrer! 
4;a capoeira foi desenvolvida no brasil  mas, sua origem é africana  foi introduzida no país, pelos escravos trazidos do sul de angola. assim como a pizza veio de fora  a coca cola, o mcdonalds  o futebol  o karatê, os paulinos, os reichlmair (heil mein fuhrer), e nem por isto  deixaram de fazer parte da cultura brasileira. 
3;kkkkkkkkkkkk já ganhou!!! vocês estão fazendo eu rir até 2020.. si essa votação tivesse algum valor, os grandes nomes do rodeio estaria votando também é já teríamos milhões de votos à favor! 
3;"que despeito o povo do ""não"" deve ser porque temos um canal só de rodeio, brasil ruraltv.com, kkkkk. "
3;diz aí ana animais, o que fará com os animais depois que acabar os rodeios, se tiver uma resposta conveniente, mudarei meu voto é não defendo o rodeio, mas se vier com conversa, que é melhor matar aí, vou te processar, porque vc deve matar os cães soltos do seu bairro. 
2;se não come carne o problema é seu,eu como e vou continuar comendo,não como com seu dinheiro 
2;esses ativistas são tudo vagubundos que não querem trabalhar e tem inveja dos bem sucedidos, afinal quem boiadas tem grana, só digo uma coisa, sou à favor do regime militar no brasil novamemte, porque no regime militar vagabundos como vocês entra no cacete por ficar invejando o sucesso das pessoas!  quero ver a cara de vocês dentro de um camburão, por ficar de vagabundagem na rua, ao invés de procurar serviço, porque quem trabalha não tem tempo para vigiar a vida dos bens sucedidos.... voltaaaaaa regime militar!!! 
3;e o nível da sua cultura é zero, para começar isso não foi argumento e sim minha opinião!! 
3;"ainda falam em ""nível"".tirem suas próprias conclusões... "
2;o retardada como eu já disse anteriormente, isso não é argumento, vocês não deve ter nem a quarta série né!? porque não sabem nem interpretar, isso é minha opinião, o que eu quero que aconteça, isso não são argumentos seus analfabetos!! 
1;eu não mau trato animais, muito pelo contrário tem alimentação balanceada, acompanhamento veterinário todos os dias e muito mais, ti garanto que eles preferem levar essa vida ao invés de virar comida!! 
2;curiosidade: o quê um cachorro-louco, cgezeiro  entende de rodeio? ora, vá entregar a pizza véio  senão ela esfria. 
1;porque ele cria o que ele quer!!! porque ele tem o poder de criar o que quer!! ao contrário de você que não tem poder de nada! 
1;kkkkkkkkkk rindo até o resto da vida agora!!! qual povo tem o poder de acabar???? porque vocês não tem o poder de mandar nem dentro de suas próprias casas!! 
