[0.6995105, 1]
[0.9836526, 1]
[0.73605114, 1]
[0.124605715, 1]
[0.1616168, 0]
[-0.56196636, 0]
[0.80954385, 1]
[0.94346476, 1]
[0.9639529, 0]
[-0.29929575, 0]
[0.8091823, 0]
[0.9707996, 1]
[0.9025575, 1]
[0.77208203, 1]
[0.45064774, 0]
[0.9481565, 1]
[0.88046634, 1]
[0.42766276, 1]
[-0.36457482, 0]
[0.22403273, 1]
[0.4866348, 1]
[0.8435006, 1]
[0.9096001, 1]
[0.81944364, 1]
[-0.45343354, 0]
[0.99541354, 1]
[0.9000011, 1]
[-0.121763766, 0]
[0.8752436, 1]
[0.041614927, 0]
[0.65942675, 1]
[0.8716723, 1]
[0.9078777, 0]
[0.97963554, 0]
[0.8484475, 0]
[0.9922922, 1]
[-0.5708294, 0]
[-0.3863569, 0]
[-0.56286055, 0]
[-0.6234556, 0]
[0.84410703, 1]
[0.9523113, 0]
[0.9906324, 1]
[-0.55596584, 0]
[0.03545715, 0]
[0.926284, 1]
[0.51015854, 1]
[-0.43310875, 0]
[0.60218453, 1]
[0.93415356, 1]
[0.7590741, 1]
[0.39945814, 1]
[0.7730974, 1]
[0.5524237, 1]
[0.46621263, 1]
[-0.48489004, 0]
[0.6376744, 0]
[0.22385433, 0]
[0.8914021, 1]
[0.6787438, 1]
[-0.1562914, 0]
[-0.5256575, 0]
[-0.2458202, 0]
[0.22213003, 0]
[0.80021536, 0]
[-0.27718925, 0]
[-0.18910152, 0]
[0.9941058, 1]
[0.87076133, 1]
[0.98586303, 1]
[0.13605045, 1]
[-0.5803634, 0]
[-0.6119756, 0]
[0.97707015, 1]
[0.029628277, 0]
[0.9780786, 0]
[0.5501228, 1]
[-0.47272357, 0]
[0.12585232, 0]
[-0.5615396, 0]
[-0.20641167, 0]
[0.68413174, 1]
[0.10712983, 1]
[0.6703684, 1]
[0.71455973, 1]
[0.8693961, 1]
[0.9009572, 1]
[0.80100584, 1]
[0.6900886, 1]
[0.60688186, 1]
[0.9431874, 1]
[0.9697911, 1]
[0.616099, 1]
[0.56393206, 0]
[0.9897119, 1]
[0.9660214, 1]
[0.5819108, 1]
[0.66963243, 1]
[0.69631064, 1]
[0.19437122, 1]
[0.8308696, 1]
[0.8516292, 1]
[0.96520257, 1]
[0.53138703, 1]
[0.14199455, 0]
[0.9324927, 1]
[0.9509477, 0]
[0.83778566, 1]
[-0.09865985, 0]
[0.4695229, 1]
[0.9679675, 1]
[0.9679675, 1]
[0.9944351, 1]
[0.9587615, 0]
[0.9942644, 1]
[0.9075727, 1]
[0.95217294, 0]
[0.2943344, 1]
[0.20598938, 1]
[0.95283866, 1]
[-0.13962355, 0]
[0.8379672, 1]
[0.22934385, 0]
[0.019207649, 0]
[0.121837914, 0]
[0.121837914, 0]
[0.9324569, 0]
[0.29668614, 0]
[0.8850743, 0]
[0.6901954, 0]
[0.93134254, 1]
[0.7641591, 1]
[-0.24083377, 0]
[0.96105736, 1]
[0.4539377, 1]
[0.055233754, 1]
[0.6126647, 1]
[0.73383343, 1]
[0.9451084, 0]
[0.75613683, 1]
[0.8808447, 0]
[0.53742677, 1]
[0.83782864, 1]
[0.7084233, 1]
[0.8310897, 1]
[0.9680883, 1]
[0.99339867, 1]
[0.9010552, 1]
[0.9932085, 1]
[0.8540158, 1]
[0.32781717, 0]
[0.97112525, 1]
[0.7336589, 1]
[-0.6044707, 0]
[0.9741366, 1]
[0.8947907, 1]
[0.9425282, 0]
[0.38425413, 0]
[0.4627375, 1]
[0.90464616, 1]
[0.95052916, 1]
[0.95073813, 1]
[0.95484716, 1]
[0.8375659, 1]
[0.91379505, 0]
[0.969983, 1]
[0.47333565, 1]
[-0.03440014, 1]
[0.50491345, 1]
[0.70912355, 1]
[0.88000256, 0]
[0.2391942, 0]
[0.5678359, 1]
[0.032218482, 0]
[0.8744697, 1]
[0.49868694, 1]
[0.98318416, 1]
[0.77415425, 1]
[0.80876935, 1]
[0.022219852, 1]
[0.69043714, 0]
[0.7337357, 0]
[0.39161888, 0]
[0.7418826, 0]
[0.7904424, 1]
[0.885689, 1]
[0.013772, 1]
[0.73071545, 0]
[0.85915184, 1]
[-0.63645786, 0]
[0.38741508, 1]
[-0.6129542, 0]
[-0.58186406, 0]
[-0.63691074, 0]
[-0.45133275, 0]
[0.9798125, 1]
[0.157652, 1]
[0.95699835, 1]
[-0.60841155, 0]
[-0.59421194, 0]
[-0.63229346, 0]
[-0.4855573, 0]
[-0.024779465, 1]
[0.8655663, 1]
